Rotation,Pitch,Elbow,Wrist_Pitch,Wrist_Roll,Jaw
-0.9633,-0.1365,0.1212,0.3344,0.2071,-0.6780
-0.9971,0.1503,0.0123,0.5430,0.2071,0.3666
0.0552,-0.4357,0.5139,0.0629,-0.0353,0.3528
